id;nombre;regpub;DESCRIPCION;CODIGORUT;ORIGEN;DESTINO;UNIDAD;DIRECC_INI;DIRECC_FIN
66;EMP. TRANSP. SERV. MULTIPLES NUEVO BARRANCA S.A.C;80121211;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 02;BARRANCA;PATIVILCA;M2;AV. MANCO CAPAC - AV. MIRAMAR;AA HH FUJIMORI
68;EMP. TRANSP. SERV. MULTIPLES BARRANCA TOURS S.R.L;80023815;SERVICIO ESPECIAL M1;SEAC 01;BARRANCA;PARAMONGA;M1;JR. LIMA (CDRA. 7);CA. TORIBIO LUZURIAGA
70;EMP. TRANSP. SERV. MULTIPLES CAPRICORNIO  S.R.LTDA;80000948;SERVICIO ESPECIAL M1;JPB;BARRANCA;PARAMONGA;M1;JR. VILELA;CA. TORIBIO LUZURIAGA
72;EMP. TRANSP. TURISMO VIRAYA S.A;8009967;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 05;BARRANCA;BARRANCA;M2;JR. JOSE OLAYA / PSJE. LA VERDE;CC PP ARAYA CHICA (CALLE PRINCIPAL)
73;EMPRESA DE TRANSPORTE TAXI COLECTIVO JOSE OLAYA S.A.;80024415;SERVICIO ESPECIAL M1;SEAC 23;BARRANCA;PATIVILCA;M1;JR. JOSE OLAYA;JR. JUAN VELASCO ALVARADO
75;MUSTANG TOURS;;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
76;EMPRESA DE TRANSPORTES SAN ILDEFONSO S.R.L.;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
77;;;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
78;EMPRESA DE TRANSPORTE CARAQUEÑO S.A;80004395;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 04;BARRANCA;PATIVILCA;M2;JR. LIMA / PSJ. EDGARDO REYES;CALLE PRINCIPAL
79;EMP. TRANSP. 20 DE JULIO-PATIVILCA S.A;80014338;SERVICIO ESPECIAL M1;SEAC 08;BARRANCA;PATIVILCA;M1;JR. BERENICE DAVILA CDRA. 02;CA. CALLAO
80;EMP. TRANSP. UNIDOS RAFAEL CHANGA ALDAVE S.A;80020906;SERVICIO ESPECIAL M1;SEAC 19;SUPE;SUPE;M1;SUCRE CUADRA 4;CALLE PRINCIPAL
81;ECLIPSE TOURS;;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
82;EMPRESA DE TRANSPORTES PUERTO SUPE TOURS;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
83;EMP. TRANSP. TOURS SAN PEDRITO EXPRESS S.A.C.;80010675;SERVICIO ESPECIAL M1;JPB;BARRANCA;PUERTO SUPE;M1;CA. B (ESSALUD);PROLONGACION TARAPACA
84;EMPRESA DE TRANSPORTE PUBLICO LEON DE JUDA S.A.C.;11004937;SERVICIO ESPECIAL M1;SEAC 21;BARRANCA;PARAMONGA;M1;JR. CASTILLA CDRA. 05;PANAMERICANA NORTE LIMITE PROVINCIAL
85;EMPRESA DE TRANSPORTES DE CARGA Y PASAJEROS TURISMO CHASQUI S.A.;80021915;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 15;BARRANCA;PARAMONGA;M2;JR. RAMON CASTILLA / JR. VILELA;CC PP MALVADOS (CALLE PRINCIPAL)
86;EMP. TRANSP. CARLESI S.R.LTDA.;11028400;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
87;EMP. TRANSP. SERV. MULTIPLES FORTALEZA TOURS SAC.;80026493;SERVICIO ESPECIAL M1;JPB;BARRANCA;PARAMONGA;M1;JR. LIMA (CDRA. 7);CA. TORIBIO LUZURIAGA
88;EMP. RC SERVICIOS GENERALES S.A.C.;80027295;SERVICIO ESPECIAL M1;JPB;BARRANCA;SUPE;M1;JR. AREQUIPA;AA HH SAN NICOLAS
89;EMP. TRANSP. SERV. GENERALES BARRANCA E.I.R.L.;40007914;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
92;EMP. TRANSP. SERV. MULTIPLES  ATIM 4 S.A;80023945;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
93;EMP. TRANSP. MAGDALENA 2M S.A.;40008707;SERVICIO ESPECIAL M1;JPB;BARRANCA;SUPE;M1;JR. PEDRO REYES DE BARBOZA;AA HH SAN NICOLAS CANTAGALLO
94;EMPRESA DE TRANSPORTES INTERDISTRITAL SAN MIGUEL S.R.L.;80018535;SERVICIO ESPECIAL M1;SEAC 12;BARRANCA;SUPE;M1;;
96;EMP. TRANSP. VALLE SAGRADO CARAL S.A.C;80085921;SERVICIO ESPECIAL M1;SEAC 16;BARRANCA;SUPE;M1;JR. BERENICE DAVILA;PLAZA DE ARMAS
97;EMP. TRANSP. TURISMO SANTIAGO SRL.;11035271;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 16;BARRANCA;PARAMONGA;M2;JR. EDGARDO REYES / JR. RICARDO PALMA;CC PP MALVADOS (CALLE PRINCIPAL)
99;EMPRESA DE TRANSPORTES MULTIPLES EL POTAO S.A.C;80002955;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 06;BARRANCA;BARRANCA;M2;CA. HAYA DE LA TORRE / JR. LIMA;CC PP POTAO (PLAZA)
100;EMP. TRANSP. SERV. MULTIPLES 4 S.A.;40008633;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
101;EMP. TRANSP. N° 10 PARAMONGA HUARICANGA S.R.L;50001451;SERVICIO ESPECIAL M1;JPB;PARAMONGA;PARAMONGA;M1;CA. FRANCISCO BOLOGNESI;CC PP HUARICANGA (CALLE PRINCIPAL)
102;EMPRESA DE TRANSPORTES ANTA Y ANEXO S.A.C.;80001185;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 17;BARRANCA;PARAMONGA;M2;JR. CASTILLA N° 500;CC PP MALVADOS (CALLE PRINCIPAL)
103;EMPRESA DE TRANSPORTE DE SERVICIOS MULTIPLES VIRGEN DEL ROSARIO S.A.;02000920;SERVICIO ESPECIAL M1;SEAC 26;BARRANCA;PARAMONGA;M1;JR. LEONCIO PRADO;PTA. BERMEJO
104;EMP. TRANSP. SERV. MULTIPLES MARIA MAGDALENA N° 02 S.A.;40008707;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
106;EMP. TRANSP. SANTISIMA CRUZ DE UPACA S.A;;SERVICIO ESPECIAL M1;JPB;PARAMONGA;PATIVILCA;M1;CA. BOLOGNESI;PLAZA DE ARMAS
107;EMP. TRANSP. VIRGEN DE GUADALUPE S.R.L;02000998;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
108;EMP. TRANSPORTES N° 1 S.A;80000348;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
110;EMPRESA DE TRANSPORTES INTERDISTRITAL SAN MIGUEL S.R.L.;80018535;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
112;EMPRESA DE CHOFERES NOCTURNOS DE SERVICIO DE TRANSPORTES S.A.C.;10000770;SERVICIO ESPECIAL M1;SEAC 22;BARRANCA;PARAMONGA;M1;CA. LIMA / CA. ALFONSO UGARTE;AV. FRANCISCO VIDAL / CA. TORIBIO LUZURIAGA
114;EMP. TRANSP. TURISMO HUAYTO S.A;80088306;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
115;EMP. TRANSP. SERV. MULTIPLE MARIA MAGDALENA N° 2M S.A;40008707;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 08;BARRANCA;SUPE;M2;CA. B (ESSALUD);CC PP CANTAGALLO
116;EMP. TRANSP. SERV. MULTIPLES MARIA MAGDALENA N° 02 S.A.;40008707;SERVICIO ESPECIAL M1;SEAC 12;BARRANCA;SUPE;M1;;
117;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES HUAYTO EXPRESS S.A.C.;80123750;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
118;EMPRESA DE TRANSPORTE INTER URBANO ANTA Y ANEXOS S.A.C.;80001185;SERVICIO ESPECIAL M1;SEAC 03;BARRANCA;PARAMONGA;M1;JR. CASTILLA - 500;C.P. CHIQUIHUANCA - VIA PRINCIPAL
119;ASOC. MOTOS BAJAJ;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
121;EMPRESA DE TRANSPORTES LOS PATIVILCANOS  S.A.;80118804;SERVICIO ESPECIAL M1;SEAC 09;BARRANCA;PATIVILCA;M1;JR. BERENICE DAVILA;AA HH FUJIMORI
128;EMP. TRANSP. SERV. GENERALES LOS MASTERS DEL VOLANTE S.R.L.;11007814;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
129;EMPRESA DE TRANSPORTES Y SERVICIOS  MULTIPLES L, J & K  SAGRADO CORAZON DE JESUS S.A.;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
131;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES E&G VIRGEN DEL PILAR S.A.;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
132;EMP. TRANSP. SERV. PUERTO SUPE S.A.C.;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
133;EMP. TRANSP. SERV. MULT. MAZAAKI E.I.R.L;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
134;EMP. TRANSP. LA ISLA S.R.L.;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
135;ASOC. TRANSPORTISTAS CRISTO REY S.R.L.;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
136;ASOC. TAXISTAS BARRANCA;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
137;TURISMO GAMARRA SRL.;;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 16;BARRANCA;PARAMONGA;M2;JR. EDGARDO REYES / JR. RICARDO PALMA;CC PP MALVADOS (CALLE PRINCIPAL)
138;EMPRESA DE TRANSPORTES EL RAPIDO S.A.;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
139;ASOC. DE TAXISTAS DE BARRANCA;;SERVICIO DE TAXI;NULL;NULL;NULL;NULL;NULL;NULL
