id;nombre;regpub;DESCRIPCION;CODIGORUT;ORIGEN;DESTINO;UNIDAD;DIRECC_INI;DIRECC_FIN
11;EMP. TRANSP. SERVITRANS S.A.C.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
12;EMP. TRANSP. SAN CRISTOBAL DE ICHOCA S.A.C.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
13;SOL ROJO;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
14;ASOC. FRENTE UNICO DE MOTOTAXISTAS DE BCA;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
15;EMP. TRANSP. VIRGEN DE LAS NIEVES;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
16;ASOC. MOTOTAXIS M&R;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
17;GREMIOS MOTOTAXIS HOSPITAL BARRANCA;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
18;EMP. TRANSP. VIRGEN DEL PILAR S.A.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
19;EMP. TRANSP. TRANSMILENIO D & J S.R.L.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
20;ASOC. MOT. MOTOTAXISTAS LOS AGACHADOS;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
21;EMP. SK E.I.R.L.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
22;ASOC. MOT. CRISTO VIVE;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
23;ASOC. MOT. EL BOSQUE-PALMERAS;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
24;ASOC. MOT. CRISTO REDENTOR;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
25;ASOC. CHOFERES BAJAJ BCA TOURS;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
26;ASOC. MOT. VICTOR RAUL;NULL;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
